 summons, call	citatio
reproachful	criminosus
reproachful, slanderous	ciminosus
reproachfully	criminose
reproduce	refero
reproof	castigatio
reproof	correptio
reprove	arguo
reprove	castigo
reprove	reprehendo
reproves	castigator
republic	res publica
repulse	aversor
request	peto
request	posco
request	postulatio
request	precis
request	prex
request, entreaty, prayer	prex precis
require	expeto
require	indigeo
require	postulo
requirements	commodum
requite	rependo
requite	repono
rescue	ereptum
rescue	eripio
rescue	eripui
rescue	eruo
resemblance	similitudo
resembling	similis
reservation	dubium
reserve	reservo
reserve	servo
reserve troops	subsidium
reserve troops, auxiliary troops /support, help	subsidium
reside	habito
reside	incolo
reside	moror
reside	sedeo
reside somewhere	incolere
reside somewhere	incolo
residence	domus
residence	sedes
resident	ae
resident	cultor
resident	incol
resident	incola
resident	vicinus
resident of a household	domigena
residents of a district	ora
resist	adversor
resist	reluctor
resist	resisto
resistance	refragatio
resistant	lentus
resolute	destinatus
resolute	erectus
resolute	obstinatus
resolute	promptus
resolute, firm, determined	destinatus
resolutely	prompte
resolution	consilium
resolve	cerno
resolve	delibero
resolve	diluo
resolve	scisco
resolve on	decerno
resolved	certus
resolved	obstinatus
resound	intoneo
resound	resono
resound like celestial thunder	reboare
resounding	resonus
resounding	undisonus
resounding, loud with waves	undisonus
resource	suffragium
resources	facultas
resources	opes
respect	erubesco
respect	respicio
respect	suspicio
respect	veneratio
respect	vereor
respect, reverence, honor, veneration	veneratio
respectability	honestas
respectable	honestus
respected	celebrus
respectful	honorabilis
respectful	officiosus
respectful	pius
respectful treatment	honestas
respectful, attentive	officiosus
respectfully	honeste
respectfully	honorifice
respectfully	reverenter
respectfully, properly, suitably, appropriately	honeste
respiration	respiratio
respiration, exhalation	respiratio
respite	laxamentum
respond	remando
respond	respondeo
respond	respondi
respond	responsum
responsibility	officium
rest	cubitus
rest	curo
rest	laxamentum
rest	nitor
rest	quies
rest	quiesco
rest	requietum
rest	sileo
resting	quietus
resting, sleeping, undisturbed / neutral / quiet	quietus
restive	strenuus
restless	sollicitus
restless	turbatus
restlessness	instabilitas
restoration	renovatio
restore	recipero
restore	reconcilio
restore	recro
restore	reddo
restore	redintegro
restore	refero
restore	renovo
restore	reparo
restore	restauro
restore	restituo
restore	restruo
restore, put back, replace, reinstate, repair	restituo
restored	recidivus
restrain	castigo
restrain	coerceo
restrain	cohibeo
restrain	compesco
restrain	compescor
restrain	confuto
restrain	constrictum
restrain	constringo
restrain	constrixi
restrain	contineo
restrain	freno
restrain	infreno
restrain	inhibeo
restrain	prohibeo
restrain	prohibitio
restrain	retineo
restrained	castigatus
restrained	modestus
restraint	frenum
restrict	cogo
restrict	termino
restrict, define, close, set a limit to	termino
result	effectus
result	evado
result	evello
result	eventum
result	eventus
result	praecedo
result	praecessi
result	praecessum
result	procedo
resume	recolo
resume	resumo
resurection, awakening, renewal	resurrectio
resurrection	resurrectio
retaliate	talio reddo
retaliation in kind	talio
retinue	comitatus
retinue	satellites
retinue	stipatores
retire	abeo
retire	cubitum ire
retire	defungo
retire	recedo
retire	recepi
retire	receptum
retire	recipio
retire, withdraw	recedo
retired	secretum
retirement	decessus
retirement / withdrawal / departure / death	decessus
retreat	decessio
retreat	recedentia
retreat	recedo
retreat	recepi
retreat	receptum
retreat	recessus
retreat	recipio
retreat	regredior
retreat	regressus
retreat	terga dare
retreat	verto
retreat, ebbing, disappearance / distant, far	recedentia
retribution	talio
retribution	talio; -onis
return	reddo
return	redeo
return	reditus
return	reduco
return	refero
return	regredior
return	remeo
return	repeto
return	revenio
return	reversus
return	reverti
return	reverto
return	revertor
return /income, revenue /reward	reditus
return home	remeo
return like for like	talio reddo
return to	repeto
returning	recidivus
reveal	aperio
reveal	declaro
reveal	fateor
reveal	in promptu
reveal	ostendo
reveal	ponere
reveal	profero
reveal	promptu
reveal	resero
revel	exsulto
revenge	ultio
revenge	ultionis
revenge oneself on	vindicat se de
revenue	reditus
revenue	vectigal
reverberating	reciproca
reverence	cultus
reverence	reverentia
reverence	saluto
reverence	veneratio
reverend	verendus
reverent	reverens
revert	reverto
review	recenseo
revile	blasphemo
revile	insulto
reviling	blasphematio
reviling	blasphemus
revision	lima
revive	novo
revive	recipero
revive	recreo
revive	recro
revive	renovo
revived	novus
revoke	induco
revoke	infectum reddere
revoke	revoco
revolt	insurgi
revolt	insurgo
revolt	insurrectum
revolving	volubilis
reward	beneficium
reward	bravium
reward	mercedis
reward	merces
reward	praemium
reward	premium
reward	pretium
reward	reditus
reward	remuneror
reward, prize	praemium
rework	recolo
rhetorical	rhetoricus
rhetorical attack	laesio
rhetorical attack	lesio
rhetorical attack /wounding	laesio  lesio
rhetorical figure	schema
rhetorician	rhetor
rhetorician, teacher of rhetoric	rhetor
rhyme	poema
rhyme	poematis
ribbon	lemiscus
rice	oryza
rich	copiosus
rich	dis
rich	ditus
rich	dives
rich	fortunatus
rich	opulens
rich	pecuniosus
rich	pinguis
rich	plenus
rich	prodigus
rich	quaestuosus
rich	questuosus
rich	uber
rich in	celebrus
rich in material	argumentosus
rich, extravagant, abound in, profuse	prodigus
rich, opulent, wealthy	dives
rich, possessing wealth or worth	dis
rich, wealthy / powerful, mighty / splendid	opulens
rich, wealthy \profitable, lucrative	pecuniosus
riches	divitiae
riches	divitie
riches	opes
riches	opulentia
riches, wealth	divitiae  divitie
riches, wealth / power, might / opulence	opulentia
richly	opulente
richly	opulenter
richly, wealthily	opulente
richness	laetitia
richness	leticia
richness	letitia
richness	ubertas
ride	equito
ride	veho
ride away	eveho
ride by	praefero
ride by	prefero
ride on horseback	equito
ride through	equito
ridge	iugum
ridge	jugum
ridge	promontorium
ridicule	illudo
ridicule	illusi
ridicule	illusum
ridicule	inrideo
ridiculous	ridiculum
right	beneficium
right	canonicus
right	dexter
right	iuris
right	ius
right	iustus
right	jus
right	legitiums
right	rectum
right	rectus
right	verus
right	vocis
right	vox
right away	ilicet
right hand	dextera
right, correct, proper, upright, natural, plain	rectus
right, on the right	dexter
rightly	iuste
rightly	scilicet
rightly	vere
rightly, it is just	scilicet
rigid	austerus
rigor	severitas
rigorous	acerbus
rim	labrum
rim	ora
rind	crusta
rind, peel, bark, shell / inlay, embossing	crusta
ring	orbis
ring	tinnio
rinse cleanse	eluo
riot	tumultus
ripe	esculentus
ripe	mitis
ripe beforehand	praecox
ripe beforehand	precox
ripe beforehand, premature	praecox
ripping	laniatus
rise	exorior
rise	orior
rise	oriri
rise	ortus
rise up	consurgo
rise up	emergo
rise up	emersi
rise up	emersum
rise up	insurgi
rise up	insurgo
rise up	insurrectum
rise, become visible, appear	orior
rise, become visible, appear	orior oriri ortus
rising	jugum
rising	oriens
rising	ortus
rising	seditio
rising, the rising sun / east / morning	oriens
risk	alea
risk	ausus
risk	periculum
risque	subobscenus
risque, faintly obscene	subobscenus
rite	ritus
ritual	ritus
rival	subnuba
rivalry of any kind	certamen
river	flumen
road	iter
road	itineris
road	via
road, route, journey	iter itineris
road, way, street	via
roar	latro
roar	mugio
roar	rudo
roaring	fragosus
roaring	murmur
roaring, crashing, rough /broken	fragosus
roast	torreo
roasted	assus
rob	privo
rob	rapio
rob	spolio
rob on the highway	latrocinor
robber	ereptor
robber	latro
robber	latrunculus
robber	vispilio
robbery	furtum
robbery	rapina
robbing	depopulatio
robbing	spoliatio
robe of state	peplum
robust	fortis
robust	robustus
robust	validus
rock	silex
rock	silicis
rocky	petrosus
rod	bacillum
rod	talea
rod	virga
rod, stick, stake, bar /cutting, slip	talea
roebuck	capreolus
role	persona
roll on	volvo
roll onwards	volvo
rolling	volubilis
rolling, revolving, turning around /changeable	volubilis
Roman power	nomen Romanorum
room	cella
room, store-room, garret	cella
roominess	laxitas
rooster's comb	crista
root	radix
root out	eradico
root up	rimor
rope	funis
rope, cord, line	funis
rope, cord, line	funis -is
rope-maker	restio
rot	putesco
rotate	roto
rotation	orbis
rotten	cariosus
rotten	puter
rotten, decayed	cariosus
rotten, decayed, putrid /loose	puter
rottennes, corruption, decay	caries
rottenness	caries
rotundity	pinguitudo
Rouen	Rotomagense
rough	asper
rough	barbarus
rough	durus
rough	fragosus
rough	incomptus
rough	incultus
rough	rudis
rough	scaber
rough	scabrosus
rough spot	scrupulositas
rough, harsh, severe	asper
roughly	inter
roughly	truculenter
roughness	asperitas
roughness, severity/ harshness, fierceness	asperitas
round	orbis
round	rotundus
rounded	teres
rounded, polished, smooth, fine, elegant	teres
rouse	agito
rouse up	accendo
rout	fundo
rout	verto
route	iter
route	itineris
rove	erro
rowing	remigium
royal	basilicus
royal	regalis
royal	regius
royal staff	sceptrum
royal, regal	regius
royally	basilice
rub	tero
rub	tritum
rub	trivi
rub against	attero
rub away	attero
rubbish	purgamentum
rubbish	quisquiliae
rubbish	quisquiliarum
rubbish, trash, filth, sweepings	purgamentum
rubbish, trash, garbage, refuse	quisquiliae
ruddy	rufus
rude	barbarus
rude	durus
rude	immitis
rude	incomptus
rude	incultus
rude	rudis
rude, raw, rough, uncultivated	rudis
rudeness	barbaria
rue	paeniteo
ruin	affligo
ruin	attero
ruin	diruo
ruin	eversio
ruin	everto
ruin	exitium
ruin	interitus
ruin	letum
ruin	perditio
ruin	perdo
ruin	pessum dare
ruin	prosterno
ruin	sepelio
ruined	afflictus
ruins	fragmen
ruins	fragminis
rule	dominatus
rule	formula
rule	imperium
rule	mos
rule	ordinatio
rule	principatus
rule	principor
rule	regimen
rule	regno
rule	regnum
rule	regula
rule	sceptrum
rule / monastic rule	regula
rule, authority, kingdom, realm	regnum
rule, dominion, pre-eminence, first place	principatus
rule, government, order, arrangment, regulation	ordinatio
rule, mastery, tyranny, domination	dominatus
ruler	archos
ruler	rector
ruler	satraps
rumble	latro
rumble	rugio
ruminate	cogito
ruminate	rumino
ruminate upon	ruminor
rumor	fama
rumor	opinio
rumor	rumor
rumor	sermo
rumor	ventus
rumor, gossip	rumor
run away	effugi
run away	effugio
run away	effugiturus
run away	fugio
run away	terga dare
run back and forth	curso
run down	decurro
run in a race	decurro
run into	incurro
run of the mill	communis
run riot	lascivio
run through with swords	digladio
run to and fro	discurro
run to meet	occurro
run up and down	cursito
run up under	succurro
runaway slave	fugitive
runaway slave	fugitivus
runner	cursor
runner, carrier, messenger	cursor
running	curriculum
rupture	rumpo
rural	rusticus
rural area	ruris
rural area	rus
rural portions of a civitas	pagus
rush	carex
rush	impetus
rush	iuncus
rush	rui
rush	ruo
rush	rutum
rush	vado
rush back and forth	volito
rush in	inruo
rush in	irruo
rush into	irruo
rush out	evolo
rush upon	inruo
rush upon	irruo
rush upon	occurro
rust colored	ferrugineus
rust colored, dusky	ferrugineus
rustic	agrestis
rustic	rusticus
rustic, rural /peasant	rusticus
rustle	crepito
rustle cattle	abigo
sabbath	sabbatum
sack	saccus
sacking	depopulatio
sacking	spoliatio
sacraments	sacramentum
sacred	divinus
sacred	sacer
sacred	sanctus
sacred grove	nemus
sacred precinct	templum
sacred precinct, temple	templum
sacred rites	sacramentum
sacred secret	arcanum
sacred to Ceres	cerealis
sacredness	sanctimonia
sacrifice	devoveo
sacrifice	facio
sacrifice	piaculum
sacrifice	sacrificium
sacrifice	sacrificum
sacrifice	vitualamen
sacrificial animal	bidens
sacrilege	sacrilegium
sacrilegious	sacrilegus
sacrilegious, impious	sacrilegus
sad	miserabilis
sad	pullus
sad	tristis
sad, mournful, sowerful	tristis
sad, wretched, mournful, plaintive	miserabilis
sad-sounding	luctisonus
sad-sounding, mournful, baleful	luctisonus
sadden	contristo
sadden	tristifico
saddle	ephippium
sadly	miserabile
sadly, mournfully, wretchedly	miserabile
sadness	miseria
safe	armarium
safe	impunitus
safe	incolumis
safe	salvus
safe	securus
safe	solidus
safe	tutis
safe	tutus
safe and sound	sospes
safe, secure, free from care, unworried	securus
safe, sound	salvus
safeguard	praesidium
safeguard	tutela
safety	incolumitas
safety	salus
saffron	crocus
saffron oil	crocinus
saffron-colored	croceus
saffron-colored	crocinus
saffron-colored	crocus
saffron-colored robe	crocotula
sagaciously	sagaciter
sail	congredior navigio
sail	navigo
sail	no
sail	veho
sail	velum
sail away	eveho
sail downstream	decurro
sail, covering, awning, curtain	velum
sailor	nauta
sails	ala
saint	beatus
saint	sanctus
sale	venditio
sale /closing of a bargain	venditio
sally	eruptio
sally forth	prodeo
salt	sal
salt	salis
salt, wit	sal
salty	salsus
salty, witty	salsus
salutary	tutus
salutation	salus
salvation	palma
salvation	salus
salvation-giving	salutifer
salve	unguentum
salve, balm, ointment	unguentum
same as faciendo, the making	fiendo
sanctify	consecro
sanctify	sanctifico
sanction	sanctio
sanctity	sanctimonia
sanctuary	templum
sane	sanus
sanity	sanitas
sap	adficio
sap	debilito
sapper	fossor
sapping	fossura
Satan	diabolus
sate	satio
satifying	expletio
satire	satura
satisfied	contentus
satisfied	plenus
satisfy	impleo
satisfy	repleo
satisfy	satio
satisfy	saturo
satisfy a creditor	satago
satisfying	expletio
saturate	imbuo
savage	barbarus
savage	efferus
savage	ferus
savage	inhumanus
savage	torva
savage, wild, untamed, undomesticated	efferus
savagely	barbare
savagely	immaniter
savagely	rabiose
savagely	truculenter
savagely, furiously	rabiose
savageness	feritas
savageness	ferocitas
savagery	barbaria
savagery	immanitas
savagery, frightfulness	immanitas
save	salvifico
save	salvo
save	servare
save	servo
saves	servat
savior	salvator
say	dico
say	fari
say	fatus
say	for
say	infero
say	locutus
say	loquor
say	narro
say again	itero
say back	refero
say nothing	taceo
say often	dictito
say often	dicto
say, speak, talk about	for
saying	sententia
scabby	scaber
scabby, rough	scaber
scabrous	scabrosus
scale	lanx
scales	libra
scalp	excorio
scandalously	facinarose
scantiness	infrequentia
